sta_code        sku_code        Length(CM)      Width(CM)       Height(CM)      Qty     volume
ODO1694013962063339     DO9549-001      34.2    22.8    12.6    1       9824.98
BSIN2309116933  DR6966-101      34      22.8    12.2    1       9457.44
ODO1694165329745384     FJ0330-100      34.2    22.8    12      1       9357.12
ODO1693889286008920     DV3050-300      34.2    22.8    12      1       9357.12
ODO1693889286008920     DV3050-300      34.2    22.8    12      1       9357.12
ODO1693916400815271     DA7995-100      34.2    22.8    12      1       9357.12
BSIN2309021785  CZ2959-400      34.8    21.5    12.5    2       18705
ODO1693865895013377     DV0787-100      34.2    21.8    12.5    1       9319.5
ODO1694017549645956     FJ7066-114      34.2    21.8    12.5    1       9319.5
ODO1693866743613710     DV0787-100      34.2    21.8    12.5    1       9319.5
ODO1693866743613710     DV0787-100      34.2    21.8    12.5    1       9319.5
TBNK2309294571  CZ8101-100      34.2    21.8    12.5    2       18639
ODO1693865895013377     DV0787-100      34.2    21.8    12.5    1       9319.5
ODO1693866746556746     DV0787-100      34.2    21.8    12.5    1       9319.5
ODO1693866746556746     DV0787-100      34.2    21.8    12.5    1       9319.5
ODO1693866746556746     DV0787-100      34.2    21.8    12.5    1       9319.5
BSIN2309024917  DV0787-100      34.2    21.8    12.5    1       9319.5
BSIN2309032327  DV0787-100      34.2    21.8    12.5    1       9319.5
BSIN2309047249  FJ7063-103      34      22.8    12      1       9302.4
BSIN2309139940  FJ7063-103      34      22.8    12      1       9302.4
BSIN2309137200  FJ4559-133      34.4    21.8    12.4    1       9299.01
ODO1694275249838593     CZ2959-400      34      21.8    12.5    1       9265
ODO1693865415774582     CZ2959-400      34      21.8    12.5    1       9265
ODO1694275249838593     CZ2959-400      34      21.8    12.5    1       9265
BSIN2309136279  DJ7926-001      33.8    22.8    12      1       9247.68
ODO1694037844573837     DJ7926-005      33.8    22.8    12      1       9247.68
ODO1694269489333335     DD1391-100      34.2    21.8    12.4    1       9244.94
BSIN2309024146  DV0787-100      34.2    21.8    12.4    1       9244.94
ODO1693876928304440     DM4044-100      34.2    21.8    12.4    1       9244.94
BSIN2309023023  DV0787-100      34.2    21.8    12.4    3       27734.8
TBNK2309105623  DM4044-100      34.2    21.8    12.4    1       9244.94
BSIN2309025729  DV0787-100      34.2    21.8    12.4    1       9244.94
